ndvi,nbrl,dif_ndvi,dif_dnbrl,medianb1,medianb2,medianb3,medianb4,medianb5,medianb6,medianb7,id,id_cena,orb_pto,data_pas,ano,area_ha,verifica,focos
0.375318050384521,0.059309333562851,0.239399492740631,0.555211484432220,,0.100589163601398,0.083812452852726,0.080613501369953,0.178525030612946,0.227362304925919,0.159449815750122,661194,LS82200652017102,220_065,2017-04-12,2017,12.329999999992200,3,0
0.326282620429993,0.136436395347118,0.198616266250610,0.376083850860596,,0.132626041769981,0.122863322496414,0.131784833967686,0.256508275866508,0.281116485595703,0.195017382502556,661195,LS82200652017102,220_065,2017-04-12,2017,2.339999999998140,3,0
0.286217018961906,0.226744838058949,0.249477177858353,0.256782695651054,,0.118515122681856,0.100956447422504,0.093326359987259,0.179863847792149,0.172601051628590,0.119889486581087,661198,LS82200652017102,220_065,2017-04-12,2017,4.500000000010060,3,0
0.331071704626083,0.185162946581841,0.323954269289970,0.405321002006531,,0.113195389509201,0.103432673960924,0.110956124961376,0.223582811653614,0.246520459651947,0.164911724627018,661203,LS82200652017102,220_065,2017-04-12,2017,48.599999999968702,3,0
0.370387285947800,0.260301887989044,0.225836336612701,0.324111521244049,,0.109226323664188,0.098290655761957,0.102461140602827,0.222066275775433,0.210834406316280,0.131322763860226,661211,LS82200652017102,220_065,2017-04-12,2017,8.820000000005590,3,0
0.316029459238052,0.200026273727417,0.104133993387222,0.222223863005638,,0.128716215491295,0.118645451962948,0.115517586469650,0.222267687320709,0.215514346957207,0.146843582391739,661215,LS82200652017102,220_065,2017-04-12,2017,0.629999999999255,3,0
0.132983669638634,0.088533014059067,0.080320790410042,0.163102567195892,,0.114546056836843,0.119095671921968,0.140789285302162,0.183749981224537,0.250323645770550,0.154319651424885,661244,LS82200652017102,220_065,2017-04-12,2017,1.260000000000000,3,0
0.296469211578369,0.020556355826557,0.095826178789139,0.463207691907883,,0.120778080075979,0.114439424127340,0.132009938359261,0.242835737764835,0.372120648622513,0.233333677053452,661733,LS82200652017102,220_065,2017-04-12,2017,19.800000000017000,3,0
0.271619528532028,0.029362145811319,0.169687271118164,0.494068756699562,,0.125067040324211,0.121228300035000,0.143928989768028,0.259458437561989,0.382286205887794,0.242669865489006,661737,LS82200652017102,220_065,2017-04-12,2017,282.779999999524989,3,0
0.249900639057159,-0.036333739757538,0.161380589008331,0.534255385398865,,0.118763931095600,0.113432347774506,0.131583422422409,0.219590052962303,0.358495503664017,0.238499388098717,662305,LS82200652017102,220_065,2017-04-12,2017,2798.730000001210101,3,0
0.202129080891609,-0.057652164250612,0.114366933703423,0.503272056579590,,0.128716215491295,0.122934408485889,0.132957786321640,0.207979053258896,0.327761888504028,0.231840834021568,661748,LS82200652017102,220_065,2017-04-12,2017,163.530000000063012,3,0
0.263934433460236,0.052502602338791,0.073255419731140,0.402013301849365,,0.131133198738098,0.130777761340141,0.159520909190178,0.274066954851151,0.403612524271011,0.246745571494102,661755,LS82200652017102,220_065,2017-04-12,2017,0.629999999999814,3,0
0.242955051362514,0.028482982888818,0.097645655274391,0.425574541091919,,0.133585721254349,0.130576342344284,0.155350424349308,0.258143305778503,0.386255264282227,0.241887904703617,661757,LS82200652017102,220_065,2017-04-12,2017,8.459999999998320,3,0
0.212421223521233,-0.059448171406984,0.062765076756477,0.478132873773575,,0.121939182281494,0.121370479464531,0.145848363637924,0.224589884281158,0.348661690950394,0.252574771642685,661763,LS82200652017102,220_065,2017-04-12,2017,4.589999999998140,3,0
0.232392825186253,-0.001918537192978,0.083681039512157,0.450615793466568,,0.129758827388287,0.122436791658401,0.141808204352856,0.229400157928467,0.356351032853127,0.229388311505318,661768,LS82200652017102,220_065,2017-04-12,2017,22.500000000007301,3,0
0.226315483450890,0.026691788807511,0.072979867458344,0.391890615224838,,0.140635251998901,0.140872210264206,0.167767077684402,0.266531646251678,0.390295416116714,0.251555830240250,661772,LS82200652017102,220_065,2017-04-12,2017,2.430000000005960,3,0
0.248384207487106,-0.042311459779739,0.073798924684524,0.475922793149948,,0.126583576202393,0.121086128056049,0.140540480613708,0.234091952443123,0.381219893693924,0.254233479499817,661781,LS82200652017102,220_065,2017-04-12,2017,0.629999999999628,3,0
0.278108119964600,-0.036856982856989,0.075865954160690,0.503018260002136,,0.122839622199535,0.115209542214870,0.129498183727264,0.230039954185486,0.368234515190125,0.248617544770241,661786,LS82200652017102,220_065,2017-04-12,2017,0.990000000000745,3,0
0.255755901336670,0.014674436300993,0.073073506355286,0.427389025688171,,0.128337085247040,0.126844242215157,0.154402583837509,0.260512888431549,0.393731325864792,0.253949135541916,661795,LS82200652017102,220_065,2017-04-12,2017,11.789999999988799,3,0
0.249960742890835,-0.001920501788845,0.069205366075039,0.435200721025467,,0.129083499312401,0.126382164657116,0.152187019586563,0.254351958632469,0.392546534538269,0.255228713154793,661798,LS82200652017102,220_065,2017-04-12,2017,3.779999999999440,3,0
0.149694100022316,-0.053031548857689,0.065586984157562,0.414582550525665,,0.128645122051239,0.133976712822914,0.159165456891060,0.214590206742287,0.351126074790955,0.241627246141434,661799,LS82200652017102,220_065,2017-04-12,2017,59.310000000001303,3,0
0.245445787906647,-0.044203933328390,0.080268368124962,0.484267413616180,,0.127104893326759,0.120896562933922,0.140658959746361,0.233357369899750,0.380509018898010,0.255347192287445,661801,LS82200652017102,220_065,2017-04-12,2017,26.909999999996799,3,0
