,ndvi,nbrl,dif_ndvi,dif_dnbrl,medianb2,medianb3,medianb4,medianb5,medianb6,medianb7,id,data_pas,ano,area_ha,auditoria,class,csi,bai,mirbi,ndwi,gemi,gemiL,month,Dry,Dry2Rainy,Rainy2Dry,log_mirbi,log_bai,log_area,KNN_1,KNN_3,KNN,SVM_1,SVM_3,SVM,RF_1,RF_3,RF,NN_1,NN_3,NN,ST_1,ST_3,ST
1484,0.321086853742599,0.11945080757141101,0.22166824340820301,0.29538267850875893,0.09805029630661,0.07771506905555702,0.07969281077385001,0.160044863820076,0.194706037640572,0.125231549143791,693710,2018-08-05,2018,1.16999999999981,1,Burned,0.5035811806083341,95.95679600336804,1.3441963225603042,-0.42944898801660064,0.012136410126519451,0.017116083317903822,8,0,1,0,0.029579630476684694,0.45638980485371244,0.015700374880950243,1.0,0.0,1,0.9804905788512445,0.019509421148755587,1,1.0,0.0,1,0.997616767796123,0.0023832322038770206,1,0.9966588841489307,0.003341115851069331,1
1485,0.26491223275661496,0.05808238871395599,0.182041808962822,0.244341865181923,0.10905465111136399,0.09663038328289998,0.10947301611304301,0.188024826347828,0.238748803734779,0.163772143423557,693713,2018-08-05,2018,14.5800000000129,1,Burned,0.45677569648688376,60.6792648225744,1.2979831576347358,-0.4237544425927285,0.02661375690826932,0.03594800095195745,8,0,1,0,0.026081164256962146,0.41056020387605024,0.2679650726581397,1.0,0.0,1,0.8732446986797895,0.1267553013202105,1,1.0,0.0,1,0.929573598073904,0.07042640192609592,1,0.994167502285402,0.005832497714597997,1
1486,0.238628268241882,-0.076829709112644,0.101326525211334,0.16256420314312,0.10956176370382302,0.09155925363302199,0.09766996651887899,0.15601330995559698,0.22477783262729603,0.184310227632523,694081,2018-08-05,2018,1.53000000000074,1,Burned,0.4874224580921523,108.41301538141839,1.6402795165777289,-0.42112855172676994,0.01452569502675457,0.016917180121774622,8,0,1,0,0.04948666642510219,0.4685948149892215,0.04252677354048278,1.0,0.0,1,0.982325753748173,0.01767424625182689,1,1.0,0.0,1,0.9995241915224308,0.00047580847756922286,1,0.9967124499735688,0.003287550026431236,1
1487,0.160033285617828,-0.30426445603370694,0.090963408350945,0.35561218857765203,0.10433849692344699,0.08631063252687501,0.091153562068939,0.126119002699852,0.24229858815670002,0.235122948884964,693714,2018-08-05,2018,53.7300000000125,1,Burned,0.43061950016798656,224.72001100779215,1.9767033249139794,-0.474691353168173,0.0006296857404955186,0.0006437945339445647,8,0,1,0,0.06814304696572382,0.5414855231780467,0.3983971504740963,1.0,0.0,1,0.9994150989166801,0.0005849010833198035,1,0.9861737925574031,0.013826207442596992,1,0.9999950535368936,4.946463106476395e-06,1,0.9964182075515997,0.0035817924484003202,1
1488,0.145876199007034,-0.086190782487392,0.13284210860729198,0.21118724346160897,0.11148879304528199,0.10097887739539099,0.116078164428473,0.15720503032207503,0.227097883820534,0.18375239521265,693718,2018-08-05,2018,0.54,1,Burned,0.4909283660845864,103.01498816525317,1.6119646906852667,-0.38441920103611754,0.015045790130706898,0.017704995122431982,8,0,1,0,0.04774537398031417,0.46348744938106917,-0.061618613942381696,1.0,0.0,1,0.9947891788320642,0.005210821167935814,1,1.0,0.0,1,0.9997873222263278,0.00021267777367212515,1,0.9967180301858651,0.003281969814134918,1
1489,0.337369456887245,0.123175997287035,0.17661604285240198,0.2516083791852,0.11389758065342899,0.106379631906748,0.125611893832684,0.253112778067589,0.32191534340381606,0.198078334331512,693719,2018-08-05,2018,2.87999999999795,3,Non Burned,0.35381221487959313,26.351492862634444,0.8260129779577223,-0.503241279776349,0.060815818845905215,0.0922723478063136,8,0,1,0,-0.019114479377136506,0.3271524928510972,0.10577902941471426,0.0,1.0,3,0.004072741955171021,0.9959272580448292,3,0.0,1.0,3,0.00013411759178938443,0.9998658824082106,3,0.004011695985136732,0.9959883040148633,3
1490,0.156089320778847,-0.126780860126019,0.150835447013378,0.28828218579292303,0.10266502946615198,0.085981011390686,0.093587704002857,0.131709925830364,0.18517231941223103,0.160235032439232,693721,2018-08-05,2018,541.43999999997,1,Burned,0.5544296782155591,192.9224097914683,1.7876615941524558,-0.3658126113657828,0.002829376800630729,0.003158560063428948,8,0,1,0,0.058090839382303416,0.5262288086266591,0.6294232256977749,1.0,0.0,1,0.9999524393610275,4.7560638972390995e-05,1,1.0,0.0,1,0.9999962718709453,3.728129054745839e-06,1,0.9967209582020777,0.003279041797922216,1
1491,0.256119638681412,0.081329435110092,0.18004006147384602,0.252854526042938,0.102741092443466,0.08542318642139399,0.08986042439937598,0.156038671731949,0.18504554033279397,0.132204353809357,693722,2018-08-05,2018,8.90999999999721,1,Burned,0.5552205811536551,107.22437683354019,1.508597242832189,-0.36833224715824714,0.011231229843118553,0.01458235152454867,8,0,1,0,0.041118024080228105,0.46749236186214504,0.2187174241482405,1.0,0.0,1,0.9979946322621982,0.002005367737801767,1,1.0,0.0,1,0.9997437333642553,0.0002562666357447393,1,0.9967147258307599,0.0032852741692400325,1
1492,0.277512937784195,0.075228057801723,0.172743797302246,0.248341843485832,0.10162544250488302,0.08207623660564399,0.08516962826252,0.152818500995636,0.18585690855979897,0.12776711583137498,693736,2018-08-05,2018,36.8099999999786,1,Burned,0.5467940002466215,113.1834490943944,1.4562734544277198,-0.3873379379399762,0.00981575516163985,0.013119225251497075,8,0,1,0,0.03758807442469588,0.47290099456659673,0.36057695473903484,1.0,0.0,1,0.9976370355355009,0.0023629644644991518,1,1.0,0.0,1,0.9997145448595929,0.0002854551404071466,1,0.9967134906495649,0.0032865093504350564,1
1493,0.19557978212833396,0.016055578365922,0.22621986269950897,0.284952312707901,0.10507381707429901,0.089784353971481,0.095869712531567,0.14990259706974,0.18365097045898396,0.13512025773525202,693764,2018-08-05,2018,22.23000000001189,1,Burned,0.5721386432736868,123.4638590473785,1.5514230668544773,-0.3432863573242285,0.009184396051888075,0.011640405077463398,8,0,1,0,0.04391726173761652,0.48159484739483166,0.31014427279766404,1.0,0.0,1,0.9997602939269284,0.0002397060730716701,1,1.0,0.0,1,0.9999677170632376,3.228293676241668e-05,1,0.9967205050267116,0.003279494973288401,1
