,id,data_pas,ndvi,nbrl,dif_ndvi,dif_dnbrl,medianb4,medianb5,medianb6,medianb7,auditoria,mirbi,ndwi,data,log_bai,log_area,log_focos,log_adjac,KNN_1,KNN_3,KNN,RF_1,RF_3,RF,NN_1,NN_3,NN,ST_1,ST_3,ST
1485,37523121,2017/10/10 00:00:00.000,0.0598427541554,0.0884678289294,0.297510504723,0.0747129544616,0.0646441057324,0.07287354022260001,0.0794703289866,0.0617318116128,1,1.83850889206,-0.00194714275576,2017-10-10,0.29329128495173895,-0.4584448041082265,0.0,0.0,1.0,0.0,1,0.48541666666666666,0.5145833333333333,3,0.7858308334193255,0.21416916658067453,1,0.5273684085338278,0.4726315914661722,1
1486,37523278,2017/10/10 00:00:00.000,0.290818721056,0.196009039879,0.294355601072,0.302692949772,0.166839152575,0.309056192636,0.302900642157,0.209332168102,3,1.12489538789,-0.26237870358800003,2017-10-10,-2.4548045578724826,-0.007908351752382902,1.0986122886681098,0.0,0.0,1.0,3,0.0,1.0,3,0.019232871784184202,0.9807671282158158,3,0.007249105052250626,0.9927508949477494,3
1487,37523529,2017/10/10 00:00:00.000,0.38037276268,0.299898117781,0.294811487198,0.365959197283,0.14376142621,0.319933176041,0.262437403202,0.17261961102499998,3,1.15430955887,-0.262269831858,2017-10-10,-2.454843911473253,-0.45914618813081853,0.0,0.0,0.0,1.0,3,0.0,1.0,3,0.0001740669993599564,0.99982593300064,3,0.006937392070715531,0.9930626079292845,3
1488,37524098,2017/10/10 00:00:00.000,0.289107203484,0.154265448451,0.256638586521,0.317713141441,0.184544578195,0.322856485844,0.344444990158,0.25298351049400003,3,1.15427420139,-0.273097933919,2017-10-10,-2.571572318684052,-0.3259817057168247,0.0,0.0,0.0,1.0,3,0.0,1.0,3,0.00011063562913149472,0.9998893643708685,3,0.006935364433095947,0.993064635566904,3
1489,37526046,2017/10/10 00:00:00.000,0.268030196428,0.233741730452,0.181270137429,0.310583293438,0.16377241909499998,0.28183063864700003,0.26468783617,0.179591476917,3,1.2019739747,-0.21090088247,2017-10-10,-2.299866381552398,-0.32528518426581243,0.0,0.0,0.0,1.0,3,0.0,1.0,3,0.00025768399530412545,0.9997423160046959,3,0.006938408563690102,0.9930615914363099,3
1490,37522442,2017/10/10 00:00:00.000,0.25411897897700003,0.193728342652,0.390640318394,0.419508099556,0.143827617168,0.244698897004,0.241985172033,0.162448644638,3,1.25303176045,-0.184897094062,2017-10-10,-2.0133951449062018,-0.45864990677256234,1.0986122886681098,0.0,0.3333333333333333,0.6666666666666666,3,0.03125,0.96875,3,0.05855664391678872,0.9414433560832113,3,0.010245076254722152,0.9897549237452778,3
1491,37523840,2017/10/10 00:00:00.000,0.191045939922,0.0858570113778,0.35198020935099994,0.351096272469,0.234395548701,0.344422906637,0.35836660862,0.290699899197,3,1.39500622749,-0.218027067774,2017-10-10,-2.802653622202087,-0.20801828352134621,0.0,0.0,0.0,1.0,3,0.0,1.0,3,2.8104532965866902e-05,0.9999718954670341,3,0.006930985011227131,0.9930690149887729,3
1492,37522463,2017/10/10 00:00:00.000,0.17391440272300002,0.07216376811269999,0.228901177645,0.165494143963,0.291913360357,0.414825409651,0.465172797441,0.35898438096,3,1.03115039468,-0.238450450129,2017-10-10,-3.205236666277506,-0.45899975789556147,0.0,0.0,0.0,1.0,3,0.0,1.0,3,1.4467682624141887e-06,0.9999985532317376,3,0.006930764011327306,0.9930692359886727,3
1493,37522462,2017/10/10 00:00:00.000,0.284597218037,0.169977635145,0.351136028767,0.4250237345699999,0.185162335634,0.331505119801,0.317153245211,0.23717546463000005,3,1.26365284324,-0.248263284992,2017-10-10,-2.6147311678197136,-0.3259717578707191,0.0,0.0,0.0,1.0,3,0.0,1.0,3,8.507850405392592e-05,0.9999149214959461,3,0.006932583678314175,0.9930674163216858,3
1494,37527212,2017/10/10 00:00:00.000,0.365087240934,0.298568278551,0.320778012276,0.358792930841,0.163353219628,0.332575172186,0.289927721024,0.171384096146,3,0.872549295425,-0.27119711845600003,2017-10-10,-2.566245079640021,0.4277136247310968,0.0,0.0,0.0,1.0,3,0.0,1.0,3,3.38864621174384e-05,0.9999661135378826,3,0.006931402087736682,0.9930685979122633,3
1495,37525903,2017/10/10 00:00:00.000,0.28620415926,0.270275354385,0.438447654247,0.424336105585,0.165250629187,0.297429084778,0.275608927011,0.17072221636799995,3,1.00625467896,-0.218612823468,2017-10-10,-2.3890716343586527,-0.0074460226522733266,0.0,0.0,0.0,1.0,3,0.0,1.0,3,4.4626218072219004e-05,0.9999553737819278,3,0.00693064498990148,0.9930693550100985,3
1496,37523607,2017/10/10 00:00:00.000,0.287100464106,-0.0325422547758,0.157969325781,0.235116928816,0.164985880256,0.28827300667800004,0.410765856504,0.30766621232,3,1.0511567294600002,-0.483092356643,2017-10-10,-2.338904229274027,-0.20806869271214035,0.0,0.0,0.0,1.0,3,0.0375,0.9625,3,0.0017579428478342596,0.9982420571521657,3,0.009113718983308705,0.9908862810166913,3
1497,37522478,2017/10/10 00:00:00.000,0.191820517182,0.07795634865760001,0.0848102718592,0.118965290487,0.14500798285,0.213987439871,0.280308306217,0.181830853224,3,1.07128713131,-0.374144865438,2017-10-10,-1.8162232845458184,-0.6124476398318615,0.0,0.0,0.0,1.0,3,0.0,1.0,3,0.014985177808588435,0.9850148221914116,3,0.007210596819364534,0.9927894031806355,3
1498,37522498,2017/10/10 00:00:00.000,0.274688780308,0.155073776841,0.258704930544,0.283686637878,0.14955292642100002,0.266276359558,0.277054041624,0.197153478861,3,1.2564051806899998,-0.283702646987,2017-10-10,-2.165834841023547,-0.32574610270701737,0.0,0.0,0.0,1.0,3,0.010416666666666666,0.9895833333333334,3,0.001329171171894017,0.998670828828106,3,0.00749272335979434,0.9925072766402057,3
1499,37524126,2017/10/10 00:00:00.000,0.36697101593,0.270905703306,0.306537091732,0.388705909252,0.17820151150199998,0.385614216328,0.347313135862,0.222790509462,3,0.8242363631730001,-0.305360901966,2017-10-10,-2.8472247345220345,-0.20813218282819076,0.0,0.0,0.0,1.0,3,0.0,1.0,3,1.2922477278576316e-05,0.9999870775227214,3,0.006931841557483387,0.9930681584425166,3
